date,equity,daily_return,gross_exposure,net_exposure
2014-05-01,996883.2879830457,-3.394927670044483e-05,0.0,0.0
2014-05-02,996883.2879830457,0.0,0.0,0.0
2014-05-05,996883.2879830457,0.0,0.0,0.0
2014-05-06,996883.2879830457,0.0,0.0,0.0
2014-05-07,996883.2879830457,0.0,0.0,0.0
2014-05-08,996883.2879830457,0.0,0.0,0.0
2014-05-09,996883.2879830457,0.0,0.0,0.0
2014-05-12,996883.2879830457,0.0,0.0,0.0
2014-05-13,996883.2879830457,0.0,0.0,0.0
2014-05-14,996883.2879830457,0.0,0.0,0.0
2014-05-15,996883.2879830457,0.0,0.0,0.0
2014-05-16,996883.2879830457,0.0,0.0,0.0
2014-05-19,996883.2879830457,0.0,0.0,0.0
2014-05-20,996883.2879830457,0.0,0.0,0.0
2014-05-21,996883.2879830457,0.0,0.0,0.0
2014-05-22,996883.2879830457,0.0,0.0,0.0
2014-05-23,996883.2879830457,0.0,0.0,0.0
2014-05-27,996883.2879830457,0.0,0.0,0.0
2014-05-28,996851.3877178303,-3.2000000000000005e-05,79750.66303864366,-24552.736180575463
2014-05-29,996759.0031836722,-9.267633600788832e-05,0.0,0.0
2014-05-30,996759.0031836722,0.0,0.0,0.0
2014-06-02,996759.0031836722,0.0,0.0,0.0
2014-06-03,996759.0031836722,0.0,0.0,0.0
2014-06-04,996759.0031836722,0.0,0.0,0.0
2014-06-05,996759.0031836722,0.0,0.0,0.0
2014-06-06,996759.0031836722,0.0,0.0,0.0
2014-06-09,996759.0031836722,0.0,0.0,0.0
2014-06-10,996759.0031836722,0.0,0.0,0.0
2014-06-11,996759.0031836722,0.0,0.0,0.0
2014-06-12,996759.0031836722,0.0,0.0,0.0
2014-06-13,996759.0031836722,0.0,0.0,0.0
2014-06-16,996759.0031836722,0.0,0.0,0.0
2014-06-17,996759.0031836722,0.0,0.0,0.0
2014-06-18,996759.0031836722,0.0,0.0,0.0
2014-06-19,996727.1068955703,-3.2000000000000005e-05,79740.72025469378,25623.665355879086
2014-06-20,997237.1985536943,0.0005117666155510776,79738.16855164562,25387.762406770733
2014-06-23,997174.7901909305,-6.258126236601208e-05,0.0,0.0
2014-06-24,997174.7901909305,0.0,0.0,0.0
2014-06-25,997174.7901909305,0.0,0.0,0.0
2014-06-26,997174.7901909305,0.0,0.0,0.0
2014-06-27,997174.7901909305,0.0,0.0,0.0
2014-06-30,997174.7901909305,0.0,0.0,0.0
2014-07-01,997174.7901909305,0.0,0.0,0.0
2014-07-02,997174.7901909305,0.0,0.0,0.0
2014-07-03,997174.7901909305,0.0,0.0,0.0
2014-07-07,997174.7901909305,0.0,0.0,0.0
2014-07-08,997174.7901909305,0.0,0.0,0.0
2014-07-09,997174.7901909305,0.0,0.0,0.0
2014-07-10,997174.7901909305,0.0,0.0,0.0
2014-07-11,997174.7901909305,0.0,0.0,0.0
2014-07-14,997174.7901909305,0.0,0.0,0.0
2014-07-15,997174.7901909305,0.0,0.0,0.0
2014-07-16,997174.7901909305,0.0,0.0,0.0
2014-07-17,997174.7901909305,0.0,0.0,0.0
2014-07-18,997174.7901909305,0.0,0.0,0.0
2014-07-21,997174.7901909305,0.0,0.0,0.0
2014-07-22,997174.7901909305,0.0,0.0,0.0
2014-07-23,997174.7901909305,0.0,0.0,0.0
2014-07-24,997174.7901909305,0.0,0.0,0.0
2014-07-25,997174.7901909305,0.0,0.0,0.0
2014-07-28,997174.7901909305,0.0,0.0,0.0
2014-07-29,997174.7901909305,0.0,0.0,0.0
2014-07-30,997174.7901909305,0.0,0.0,0.0
2014-07-31,997142.8805976444,-3.2e-05,79773.98321527443,-4226.556682209994
2014-08-01,997018.4068590363,-0.00012483039394856543,79771.43044781155,-4095.414698645429
2014-08-04,996712.1191903042,-0.00030720362495312314,79761.47254872289,-3751.46499668491
2014-08-05,996679.9895185546,-3.223565875331566e-05,0.0,0.0
2014-08-06,996679.9895185546,0.0,0.0,0.0
2014-08-07,996679.9895185546,0.0,0.0,0.0
2014-08-08,996679.9895185546,0.0,0.0,0.0
2014-08-11,996679.9895185546,0.0,0.0,0.0
2014-08-12,996679.9895185546,0.0,0.0,0.0
2014-08-13,996679.9895185546,0.0,0.0,0.0
2014-08-14,996679.9895185546,0.0,0.0,0.0
2014-08-15,996679.9895185546,0.0,0.0,0.0
2014-08-18,996679.9895185546,0.0,0.0,0.0
2014-08-19,996679.9895185546,0.0,0.0,0.0
2014-08-20,996679.9895185546,0.0,0.0,0.0
2014-08-21,996679.9895185546,0.0,0.0,0.0
2014-08-22,996679.9895185546,0.0,0.0,0.0
2014-08-25,996679.9895185546,0.0,0.0,0.0
2014-08-26,996679.9895185546,0.0,0.0,0.0
2014-08-27,996679.9895185546,0.0,0.0,0.0
2014-08-28,996679.9895185546,0.0,0.0,0.0
2014-08-29,996679.9895185546,0.0,0.0,0.0
2014-09-02,996679.9895185546,0.0,0.0,0.0
2014-09-03,996679.9895185546,0.0,0.0,0.0
2014-09-04,996679.9895185546,0.0,0.0,0.0
2014-09-05,996679.9895185546,0.0,0.0,0.0
2014-09-08,996679.9895185546,0.0,0.0,0.0
2014-09-09,996679.9895185546,0.0,0.0,0.0
2014-09-10,996679.9895185546,0.0,0.0,0.0
2014-09-11,996679.9895185546,0.0,0.0,0.0
2014-09-12,996679.9895185546,0.0,0.0,0.0
2014-09-15,996679.9895185546,0.0,0.0,0.0
2014-09-16,996679.9895185546,0.0,0.0,0.0
2014-09-17,996648.09575889,-3.2e-05,79734.39916148437,5828.860751404471
2014-09-18,996622.4771361969,-2.5704782663115114e-05,0.0,0.0
2014-09-19,996622.4771361969,0.0,0.0,0.0
2014-09-22,996622.4771361969,0.0,0.0,0.0
2014-09-23,996622.4771361969,0.0,0.0,0.0
2014-09-24,996622.4771361969,0.0,0.0,0.0
